Gene name	miRBase ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
MIR133B	hsa-mir-133b	6	52148923	52149041
MIR3668	hsa-mir-3668	6	140205252	140205326
MIR124-1	hsa-mir-124-1	8	9903388	9903472
MIR4469	hsa-mir-4469	8	42896197	42896275
MIR1204	hsa-mir-1204	8	127795962	127796028
MIR3153	hsa-mir-3153	9	89312225	89312306
MIR23B	hsa-mir-23b	9	95085208	95085304
MIR6855	hsa-mir-6855	9	129869605	129869671
MIR4770	hsa-mir-4770	X	6383906	6383963
MIR8083	hsa-mir-8083	1	153689705	153689793
MIR5698	hsa-mir-5698	1	154104521	154104592
MIR4259	hsa-mir-4259	1	159899979	159900079
MIR3119-1	hsa-mir-3119-1	1	170151378	170151462
MIR3119-1	hsa-mir-3119-2	1	170151378	170151462
MIR6758	hsa-mir-6758	12	57512688	57512750
MIR3652	hsa-mir-3652	12	103930425	103930555
MIR8071-1	hsa-mir-8071-1	14	105621116	105621180
MIR8071-1	hsa-mir-8071-2	14	105621116	105621180
MIR6782	hsa-mir-6782	17	44207771	44207839
MIR646	hsa-mir-646	20	60308474	60308567
MIR4791	hsa-mir-4791	3	19314848	19314931
MIR4442	hsa-mir-4442	3	25664873	25664939
MIR581	hsa-mir-581	5	53951504	53951599
MIR3660	hsa-mir-3660	5	90016621	90016720
MIR6780B	hsa-mir-6780b	6	43434542	43434620
MIR30C2	hsa-mir-30c-2	6	71376960	71377031
MIR3115	hsa-mir-3115	1	23044305	23044372
MIR6735	hsa-mir-6735	1	43448539	43448611
MIR5584	hsa-mir-5584	1	44545493	44545552
MIR556	hsa-mir-556	1	162342546	162342640
MIR1295B	hsa-mir-1295b	1	171101739	171101798
MIR4428	hsa-mir-4428	1	237471119	237471191
MIR4677	hsa-mir-4677	1	243346176	243346255
MIR1237	hsa-mir-1237	11	64368602	64368703
MIR4691	hsa-mir-4691	11	68033897	68033981
MIR4697	hsa-mir-4697	11	133898504	133898581
MIR4496	hsa-mir-4496	12	108635810	108635870
MIR18A	hsa-mir-18a	13	91350751	91350821
MIR1469	hsa-mir-1469	15	96333261	96333307
MIR5587	hsa-mir-5587	16	535316	535368
MIR3976	hsa-mir-3976	18	5840695	5840833
MIR526B	hsa-mir-526b	19	53694393	53694475
MIR4779	hsa-mir-4779	2	86193026	86193108
MIR6811	hsa-mir-6811	2	237510931	237510988
MIR3617	hsa-mir-3617	20	45705102	45705180
MIR1257	hsa-mir-1257	20	61953546	61953662
MIRLET7C	hsa-let-7c	21	16539828	16539911
MIR33A	hsa-mir-33a	22	41900944	41901012
MIR4762	hsa-mir-4762	22	45760524	45760598
MIR449C	hsa-mir-449c	5	55172262	55172353
MIR6831	hsa-mir-6831	5	140563671	140563751
MIR8056	hsa-mir-8056	5	173347455	173347536
MIR550B1	hsa-mir-550a-1	7	30289794	30289890
MIR550B1	hsa-mir-550b-1	7	30289794	30289890
MIR4650-1	hsa-mir-4650-1	7	67114322	67114397
MIR4650-1	hsa-mir-4650-2	7	67114322	67114397
MIR153-2	hsa-mir-153-2	7	157574336	157574422
MIR596	hsa-mir-596	8	1817231	1817307
MIR181A2	hsa-mir-181a-2	9	124692442	124692551
MIR3689E	hsa-mir-3689e	9	134850570	134850641
MIR548F5	hsa-mir-548f-5	X	32641474	32641559
MIR105-1	hsa-mir-105-1	X	152392219	152392299
MIR3972	hsa-mir-3972	1	17277889	17277975
MIR553	hsa-mir-553	1	100281241	100281308
MIR205	hsa-mir-205	1	209432133	209432242
MIR3198-2	hsa-mir-3198-2	12	54231397	54231476
MIR26A2	hsa-mir-26a-2	12	57824609	57824692
MIR665	hsa-mir-665	14	100875033	100875104
MIR412	hsa-mir-412	14	101065447	101065537
MIR4538	hsa-mir-4538	14	105858165	105858242
MIR4509-2	hsa-mir-4509-1	15	28426491	28426584
MIR4509-2	hsa-mir-4509-2	15	28426491	28426584
MIR4509-2	hsa-mir-4509-3	15	28426491	28426584
MIR5572	hsa-mir-5572	15	80581103	80581239
MIR549A	hsa-mir-549a	15	80841978	80842073
MIR193A	hsa-mir-193a	17	31559996	31560083
MIR4429	hsa-mir-4429	2	11540605	11540677
MIR4267	hsa-mir-4267	2	110069961	110070042
MIR6810	hsa-mir-6810	2	218341911	218341980
MIR941-2	hsa-mir-941-2	20	63919505	63919576
MIR941-2	hsa-mir-941-3	20	63919505	63919576
MIR941-2	hsa-mir-941-4	20	63919505	63919576
MIR941-2	hsa-mir-941-5	20	63919505	63919576
MIR885	hsa-mir-885	3	10394489	10394562
MIR196B	hsa-mir-196b	7	27169480	27169563
MIR3610	hsa-mir-3610	8	116874728	116874800
MIR1302-7	hsa-mir-1302-7	8	141786242	141786313
MIRLET7F1	hsa-let-7f-1	9	94176347	94176433
MIR361	hsa-mir-361	X	85903636	85903707
MIR513C	hsa-mir-513c	X	147189704	147189787
MIR374B	hsa-mir-374b	X	74218547	74218618
MIR374B	hsa-mir-374c	X	74218547	74218618
MIR4668	hsa-mir-4668	9	111932100	111932169
MIR1206	hsa-mir-1206	8	128008898	128008956
MIR5681A	hsa-mir-5681a	8	74548543	74548617
MIR3934	hsa-mir-3934	6	33698128	33698234
MIR548AQ	hsa-mir-548aq	3	185767847	185767904
MIR4436A	hsa-mir-4436a	2	88812370	88812454
MIR561	hsa-mir-561	2	188297492	188297588
MIR6789	hsa-mir-6789	19	2235829	2235926
MIR4689	hsa-mir-4689	1	5862672	5862741
MIR4632	hsa-mir-4632	1	12191713	12191773
MIR4694	hsa-mir-4694	11	19760004	19760083
MIR3685	hsa-mir-3685	12	95309923	95309984
MIR6762	hsa-mir-6762	12	113291523	113291608
MIR3665	hsa-mir-3665	13	77698012	77698116
MIR485	hsa-mir-485	14	101055419	101055491
MIR6772	hsa-mir-6772	16	57772289	57772352
MIR4525	hsa-mir-4525	17	82668233	82668307
MIR522	hsa-mir-522	19	53751211	53751297
MIR1244-1	hsa-mir-1244-1	2	231713314	231713398
MIR1244-1	hsa-mir-1244-2	2	231713314	231713398
MIR1244-1	hsa-mir-1244-3	2	231713314	231713398
MIR1244-1	hsa-mir-1244-4	2	231713314	231713398
MIR1914	hsa-mir-1914	20	63941465	63941544
MIR4793	hsa-mir-4793	3	48644194	48644280
MIR6825	hsa-mir-6825	3	127575266	127575331
MIR6891	hsa-mir-6891	6	31355224	31355316
MIR1200	hsa-mir-1200	7	36919357	36919432
MIR764	hsa-mir-764	X	114639435	114639519
MIR1302-2	hsa-mir-1302-2	1	30366	30503
MIR1302-2	hsa-mir-1302-9	1	30366	30503
MIR1302-2	hsa-mir-1302-10	1	30366	30503
MIR1302-2	hsa-mir-1302-11	1	30366	30503
MIR4256	hsa-mir-4256	1	112461770	112461833
MIR6737	hsa-mir-6737	1	153962351	153962420
MIR3119-2	hsa-mir-3119-1	1	170151378	170151462
MIR3119-2	hsa-mir-3119-2	1	170151378	170151462
MIR4666A	hsa-mir-4666a	1	228462074	228462152
MIR603	hsa-mir-603	10	24275685	24275781
AL513534.1		10	68759318	68759414
MIR1228	hsa-mir-1228	12	57194504	57194576
MIR20A	hsa-mir-20a	13	91351065	91351135
MIR6764	hsa-mir-6764	14	100277357	100277417
MIR1185-2	hsa-mir-1185-2	14	101044198	101044283
MIR9-3	hsa-mir-9-3	15	89368017	89368106
MIR6865	hsa-mir-6865	17	4970086	4970150
MIR6800	hsa-mir-6800	19	49832018	49832099
MIR1323	hsa-mir-1323	19	53671968	53672040
MIR548J	hsa-mir-548j	22	26555212	26555323
MIR4270	hsa-mir-4270	3	15496239	15496308
MIR4804	hsa-mir-4804	5	72878591	72878663
MIR6830	hsa-mir-6830	5	132217849	132217918
MIR584	hsa-mir-584	5	149062313	149062409
MIR4634	hsa-mir-4634	5	174751734	174751787
MIR587	hsa-mir-587	6	106784125	106784220
MIR5707	hsa-mir-5707	7	158591616	158591696
MIR124-2	hsa-mir-124-2	8	64379149	64379257
MIR4665	hsa-mir-4665	9	6007826	6007904
MIR548Z	hsa-mir-548c	12	64622509	64622605
MIR548Z	hsa-mir-548z	12	64622509	64622605
MIR320D1		13	40727828	40727875
MIR208A	hsa-mir-208a	14	23388596	23388666
MIR7973-1	hsa-mir-7973-1	15	51314034	51314109
MIR6776	hsa-mir-6776	17	2692861	2692919
MIR378J	hsa-mir-378j	17	37614931	37615039
MIR8059	hsa-mir-8059	17	50768650	50768730
MIR6794	hsa-mir-6794	19	12852260	12852327
MIR330	hsa-mir-330	19	45638994	45639087
MIR518E	hsa-mir-518e	19	53729838	53729925
MIR3681	hsa-mir-3681	2	12199130	12199201
MIR4444-1	hsa-mir-4444-1	2	177212726	177212799
MIR4444-1	hsa-mir-4444-2	2	177212726	177212799
MIR3606	hsa-mir-3606	2	188995630	188995692
MIR6818	hsa-mir-6818	22	30007049	30007113
MIR3201	hsa-mir-3201	22	48274364	48274415
MIR5682	hsa-mir-5682	3	121049640	121049715
MIR3919	hsa-mir-3919	3	159282646	159282734
MIR548AH	hsa-mir-548ah	4	76575551	76575626
MIR548G	hsa-mir-548g	4	147344629	147344717
MIR5687	hsa-mir-5687	5	55508850	55508926
MIR3977	hsa-mir-3977	5	82840155	82840224
MIR548H5	hsa-mir-548h-5	6	131792172	131792231
MIR3914-1	hsa-mir-3914-1	7	71307672	71307770
MIR3914-1	hsa-mir-3914-2	7	71307672	71307770
MIR6850	hsa-mir-6850	8	144791931	144791991
MIR491	hsa-mir-491	9	20716105	20716188
MIR3689B	hsa-mir-3689b	9	134850125	134850272
MIR106A	hsa-mir-106a	X	134170198	134170278
MIR320D2		X	140926172	140926219
MIR4685	hsa-mir-4685	10	98431292	98431360
MIR7154	hsa-mir-7154	11	45691704	45691776
MIR6746	hsa-mir-6746	11	61878216	61878278
MIR4698	hsa-mir-4698	12	47187812	47187891
MIR6880	hsa-mir-6880	12	124337181	124337242
MIR380	hsa-mir-380	14	101025017	101025077
MIR654	hsa-mir-654	14	101040219	101040299
MIR6511A3	hsa-mir-6511a-1	16	16368876	16368942
MIR6511A3	hsa-mir-6511a-2	16	16368876	16368942
MIR6511A3	hsa-mir-6511a-3	16	16368876	16368942
MIR6511A3	hsa-mir-6511a-4	16	16368876	16368942
MIR6884	hsa-mir-6884	17	40026332	40026409
MIR4747	hsa-mir-4747	19	4932687	4932740
MIR320B2		1	224257004	224257141
MIR4688	hsa-mir-4688	11	46376402	46376484
MIR6793	hsa-mir-6793	19	10828973	10829035
MIR432	hsa-mir-432	14	100884483	100884576
MIR5196	hsa-mir-5196	19	35345513	35345627
MIR3174	hsa-mir-3174	15	90006755	90006841
MIR6859-3	hsa-mir-6859-1	15	101973524	101973591
MIR6859-3	hsa-mir-6859-2	15	101973524	101973591
MIR6859-3	hsa-mir-6859-3	15	101973524	101973591
MIR6859-3	hsa-mir-6859-4	15	101973524	101973591
MIR642A	hsa-mir-642a	19	45674928	45675024
MIR6868	hsa-mir-6868	17	76098019	76098076
MIR6802	hsa-mir-6802	19	55239912	55239976
MIR8057	hsa-mir-8057	18	26591467	26591535
MIR1181	hsa-mir-1181	19	10403458	10403538
MIR217	hsa-mir-217	2	55982967	55983076
MIR24-2	hsa-mir-24-2	19	13836287	13836359
MIR4432	hsa-mir-4432	2	60387362	60387445
MIR525	hsa-mir-525	19	53697533	53697617
MIR3132	hsa-mir-3132	2	219549073	219549147
MIR8080	hsa-mir-8080	2	79866495	79866583
MIR7157	hsa-mir-7157	2	140586626	140586685
MIR938	hsa-mir-938	10	29602264	29602346
MIR4326	hsa-mir-4326	20	63286808	63286866
MIR185	hsa-mir-185	22	20033139	20033220
MIR6715B	hsa-mir-6715b	10	112299612	112299688
MIR5688	hsa-mir-5688	3	85385710	85385792
MIR4645	hsa-mir-4645	6	2854031	2854107
MIR3944	hsa-mir-3944	10	133371556	133371663
MIR586	hsa-mir-586	6	45197674	45197770
MIR28	hsa-mir-28	3	188688781	188688866
MIR1304	hsa-mir-1304	11	93733674	93733764
MIR8055	hsa-mir-8055	8	6622124	6622220
MIR6090	hsa-mir-6090	11	128522390	128522449
MIR4278	hsa-mir-4278	5	6827853	6827921
MIR598	hsa-mir-598	8	11035206	11035302
MIR6076	hsa-mir-6076	14	49966399	49966511
MIR30D	hsa-mir-30d	8	134804876	134804945
MIR6853	hsa-mir-6853	9	35732922	35732995
MIR3118-4	hsa-mir-3118-2	15	21843750	21843824
MIR3118-4	hsa-mir-3118-3	15	21843750	21843824
MIR3118-4	hsa-mir-3118-4	15	21843750	21843824
MIR514B	hsa-mir-514b	X	147250151	147250230
MIR600	hsa-mir-600	9	123111546	123111643
MIR4712	hsa-mir-4712	15	50360329	50360410
MIR6722	hsa-mir-6722	9	136746893	136746970
MIR4515	hsa-mir-4515	15	83067335	83067415
MIR503	hsa-mir-503	X	134546328	134546398
MIR5583-1	hsa-mir-5583-1	18	39676721	39676779
MIR891A	hsa-mir-891a	X	146027794	146027872
MIR520G	hsa-mir-520g	19	53722166	53722255
MIR155	hsa-mir-155	21	25573980	25574044
MIR128-2	hsa-mir-128-2	3	35744476	35744559
MIR4789	hsa-mir-4789	3	175369540	175369621
MIR378F	hsa-mir-378f	1	23929070	23929147
MIR6829	hsa-mir-6829	3	195882329	195882395
MIR4679-2	hsa-mir-4679-1	10	89063335	89063411
MIR4679-2	hsa-mir-4679-2	10	89063335	89063411
MIR574	hsa-mir-574	4	38868032	38868127
MIR5579	hsa-mir-5579	11	79422169	79422226
MIR6720	hsa-mir-6720	6	1390314	1390411
MIR2909	hsa-mir-2909	17	37033745	37033813
MIR4739	hsa-mir-4739	17	79707176	79707249
MIR550A3	hsa-mir-550a-3	7	29680734	29680828
MIR4318	hsa-mir-4318	18	37657135	37657215
MIR30B	hsa-mir-30b	8	134800520	134800607
MIR3940	hsa-mir-3940	19	6416410	6416511
MIR548M	hsa-mir-548m	X	95063141	95063226
MIR1470	hsa-mir-1470	19	15449548	15449608
MIR4785	hsa-mir-4785	2	160407810	160407882
MIR4441	hsa-mir-4441	2	239085827	239085926
MIR645	hsa-mir-645	20	50585786	50585879
MIR6815	hsa-mir-6815	21	45478266	45478326
MIR4455	hsa-mir-4455	4	184938383	184938440
MIR3135B	hsa-mir-3135b	6	32749912	32749979
MIR4660	hsa-mir-4660	8	9048445	9048518
MIR2052	hsa-mir-2052	8	74705693	74705747
MIR4475	hsa-mir-4475	9	36823539	36823599
MIR7-1	hsa-mir-7-1	9	83969748	83969857
MIR455	hsa-mir-455	9	114209434	114209529
MIR548AW	hsa-mir-548aw	9	132945707	132945771
MIR513A1	hsa-mir-513a-1	X	147213463	147213591
MIR34A	hsa-mir-34a	1	9151668	9151777
MIR4684	hsa-mir-4684	1	22719517	22719598
MIR4253	hsa-mir-4253	1	22863159	22863226
MIR6734	hsa-mir-6734	1	43364648	43364715
MIR1261	hsa-mir-1261	11	90869121	90869202
MIR92A1	hsa-mir-92a-1	13	91351314	91351391
MIR1233-1	hsa-mir-1233-1	15	34382069	34382150
MIR1233-1	hsa-mir-1233-2	15	34382069	34382150
MIR4513	hsa-mir-4513	15	74788672	74788757
MIR6770-2	hsa-mir-6770-1	16	16329305	16329364
MIR6770-2	hsa-mir-6770-2	16	16329305	16329364
MIR6770-2	hsa-mir-6770-3	16	16329305	16329364
MIR3670-4	hsa-mir-3670-1	16	18488301	18488365
MIR3670-4	hsa-mir-3670-2	16	18488301	18488365
MIR3670-4	hsa-mir-3670-3	16	18488301	18488365
MIR3670-4	hsa-mir-3670-4	16	18488301	18488365
MIR122	hsa-mir-122	18	58451074	58451158
MIR1199	hsa-mir-1199	19	14073361	14073479
MIR6799	hsa-mir-6799	19	49791866	49791934
MIR128-1	hsa-mir-128-1	2	135665397	135665478
MIR562	hsa-mir-562	2	232172653	232172747
AC002059.2		22	29333158	29333267
MIR658	hsa-mir-658	22	37844272	37844371
MIRLET7G	hsa-let-7g	3	52268278	52268361
MIR4653	hsa-mir-4653	7	101159473	101159555
MIR4662A	hsa-mir-4662a	8	124821985	124822051
MIRLET7D	hsa-let-7d	9	94178834	94178920
MIR23C	hsa-mir-23c	X	20017088	20017187
MIR548AN	hsa-mir-548an	X	106639814	106639896
MIR6079	hsa-mir-6079	1	43838622	43838683
AC099677.6		1	52940314	52940413
MIR4257	hsa-mir-4257	1	150551929	150552014
MIR765	hsa-mir-765	1	156936131	156936244
MIR4481	hsa-mir-4481	10	12653138	12653197
MIR19A	hsa-mir-19a	13	91350891	91350972
MIR4506	hsa-mir-4506	14	93948226	93948302
MIR136	hsa-mir-136	14	100884702	100884783
MIR4539	hsa-mir-4539	14	105857513	105857572
MIR4507	hsa-mir-4507	14	105858124	105858175
MIR6881	hsa-mir-6881	15	74411357	74411432
MIR6766	hsa-mir-6766	15	89326739	89326810
MIR3180-1	hsa-mir-3180-1	16	14911220	14911313
MIR3180-1	hsa-mir-3180-2	16	14911220	14911313
MIR3180-1	hsa-mir-3180-3	16	14911220	14911313
MIR4526	hsa-mir-4526	18	13611114	13611200
MIR520E	hsa-mir-520e	19	53675711	53675797
MIR519B	hsa-mir-519b	19	53695213	53695293
MIR516B1	hsa-mir-516b-1	19	53736845	53736934
MIR372	hsa-mir-372	19	53787890	53787956
MIR4436B2	hsa-mir-4436b-1	2	110284853	110284943
MIR4436B2	hsa-mir-4436b-2	2	110284853	110284943
MIR6871	hsa-mir-6871	20	41169023	41169078
MIR3648-2	hsa-mir-3648-1	21	8986999	8987178
MIR3648-2	hsa-mir-3648-2	21	8986999	8987178
MIR563	hsa-mir-563	3	15873771	15873849
MIR6827	hsa-mir-6827	3	134367804	134367862
MIR548AE2	hsa-mir-548ae-2	5	58530043	58530109
MIR8089	hsa-mir-8089	5	181043403	181043484
MIR548A1	hsa-mir-548a-1	6	18571784	18571880
MIR7111	hsa-mir-7111	6	35470508	35470579
MIR4464	hsa-mir-4464	6	90312742	90312833
MIR6133	hsa-mir-6133	7	133290881	133290988
AC021590.1		8	100023982	100024084
MIR6731	hsa-mir-6731	1	24919345	24919416
MIR4424	hsa-mir-4424	1	178677749	178677834
MIR6749	hsa-mir-6749	11	64902387	64902455
MIR4300	hsa-mir-4300	11	81890741	81890836
MIR617	hsa-mir-617	12	80832533	80832629
MIR4704	hsa-mir-4704	13	66218250	66218324
MIR4511	hsa-mir-4511	15	65719246	65719332
MIR200A	hsa-mir-200a	1	1167863	1167952
MIR1538	hsa-mir-1538	16	69565808	69565868
MIR3659	hsa-mir-3659	1	38089231	38089329
MIR744	hsa-mir-744	17	12081899	12081996
MIR92B	hsa-mir-92b	1	155195177	155195272
MIR515-2	hsa-mir-515-1	19	53685009	53685091
MIR515-2	hsa-mir-515-2	19	53685009	53685091
MIR3124	hsa-mir-3124	1	248826377	248826443
MIR4269	hsa-mir-4269	2	239305462	239305545
MIR346	hsa-mir-346	10	86264694	86264788
MIR296	hsa-mir-296	20	58817615	58817694
MIR8063	hsa-mir-8063	15	36972821	36972901
MIR564	hsa-mir-564	3	44861888	44861981
MIR6783	hsa-mir-6783	17	44934618	44934681
MIR3138	hsa-mir-3138	4	10078611	10078692
MIR4524B	hsa-mir-4524b	17	69099542	69099656
MIR1305	hsa-mir-1305	4	182169293	182169378
MIR548AI	hsa-mir-548ai	6	99124609	99124696
MIR4744	hsa-mir-4744	18	49049687	49049768
MIR3918	hsa-mir-3918	6	158764661	158764753
MIR4748	hsa-mir-4748	19	10780254	10780335
MIR548A3	hsa-mir-548a-3	8	104484369	104484465
MIR4324	hsa-mir-4324	19	49308797	49308868
MIR3651	hsa-mir-3651	9	92292458	92292547
MIR520F	hsa-mir-520f	19	53682159	53682245
MIR3202-1	hsa-mir-3202-1	X	153981097	153981177
MIR3202-1	hsa-mir-3202-2	X	153981097	153981177
MIR527	hsa-mir-527	19	53754018	53754102
MIR4325	hsa-mir-4325	20	57321502	57321591
MIR4271	hsa-mir-4271	3	49274120	49274186
MIR6499	hsa-mir-6499	5	151522087	151522148
MIR548U	hsa-mir-548u	6	57390132	57390212
MIR1285-1	hsa-mir-1285-1	7	92204015	92204098
MIR548D1	hsa-mir-548d-1	8	123348034	123348130
MIR548D1	hsa-mir-548aa-1	8	123348034	123348130
MIR4662B	hsa-mir-4662b	8	124821978	124822058
MIR202	hsa-mir-202	10	133247511	133247620
MIR4485	hsa-mir-4485	11	10508270	10508326
MIR8052	hsa-mir-8052	11	130666735	130666803
MIR548C	hsa-mir-548c	12	64622509	64622605
MIR548C	hsa-mir-548z	12	64622509	64622605
MIR6761	hsa-mir-6761	12	111799834	111799905
MIR4305	hsa-mir-4305	13	39664034	39664135
MIR4707	hsa-mir-4707	14	22956950	22957029
MIR548Y	hsa-mir-548y	14	47760995	47761104
MIR320C2		18	24321686	24321735
MIR320E		19	46709293	46709345
MIR518A1	hsa-mir-518a-1	19	53731006	53731090
MIR4754	hsa-mir-4754	19	58386770	58386858
MIR4262	hsa-mir-4262	2	11836933	11836986
MIR1285-2	hsa-mir-1285-2	2	70252918	70253005
MIR1246	hsa-mir-1246	2	176600980	176601052
MIR6890	hsa-mir-6890	3	49099854	49099914
MIR198	hsa-mir-198	3	120395668	120395729
MIR4788	hsa-mir-4788	3	134437827	134437906
MIR570	hsa-mir-570	3	195699401	195699497
MIR4798	hsa-mir-4798	4	7310450	7310524
MIR3688-2	hsa-mir-3688-2	4	159128805	159128891
MIR6131	hsa-mir-6131	5	10478037	10478145
MIR449A	hsa-mir-449a	5	55170532	55170622
MIR3142	hsa-mir-3142	5	160474402	160474483
MIR548N	hsa-mir-548n	7	34940760	34940834
MIR4657	hsa-mir-4657	7	44881748	44881800
MIR1302-9	hsa-mir-1302-2	9	30144	30281
MIR1302-9	hsa-mir-1302-9	9	30144	30281
MIR1302-9	hsa-mir-1302-10	9	30144	30281
MIR1302-9	hsa-mir-1302-11	9	30144	30281
MIR4474	hsa-mir-4474	9	20502265	20502342
MIR1298	hsa-mir-1298	X	114715233	114715344
MIR4255	hsa-mir-4255	1	37161563	37161634
MIR2682	hsa-mir-2682	1	98045242	98045351
MIR6738	hsa-mir-6738	1	155951273	155951336
MIR4654	hsa-mir-4654	1	162157107	162157182
MIR4742	hsa-mir-4742	1	224398227	224398311
MIR5699	hsa-mir-5699	10	641689	641778
MIR3160-1	hsa-mir-3160-1	11	46451805	46451889
MIR3160-1	hsa-mir-3160-2	11	46451805	46451889
MIR125B1	hsa-mir-125b-1	11	122099757	122099844
MIR148B	hsa-mir-148b	12	54337216	54337314
MIR433	hsa-mir-433	14	100881886	100881978
MIR5094	hsa-mir-5094	15	89850637	89850721
MIR3175	hsa-mir-3175	15	92904399	92904475
MIR1302-10	hsa-mir-1302-2	15	101960459	101960596
MIR1302-10	hsa-mir-1302-9	15	101960459	101960596
MIR1302-10	hsa-mir-1302-10	15	101960459	101960596
MIR1302-10	hsa-mir-1302-11	15	101960459	101960596
MIR6784	hsa-mir-6784	17	45114367	45114433
MIR517A	hsa-mir-517a	19	53712268	53712354
MIR6869	hsa-mir-6869	20	1392900	1392961
MIR548AG2	hsa-mir-548ag-2	20	60564562	60564625
MIR3199-1	hsa-mir-3199-1	22	27920525	27920612
MIR3199-1	hsa-mir-3199-2	22	27920525	27920612
MIR4635	hsa-mir-4635	5	1062896	1062974
MIR583	hsa-mir-583	5	96079138	96079212
MIR4642	hsa-mir-4642	6	44435641	44435722
MIR4658	hsa-mir-4658	7	100156605	100156669
MIR3674	hsa-mir-3674	8	1801125	1801192
MIR4659A	hsa-mir-4659a	8	6745164	6745244
MIR4659A	hsa-mir-4659b	8	6745164	6745244
MIR188	hsa-mir-188	X	50003503	50003588
MIR3116-2	hsa-mir-3116-2	1	62078789	62078856
MIR606	hsa-mir-606	10	75552458	75552553
MIR670	hsa-mir-670	11	43559656	43559753
MIR130A	hsa-mir-130a	11	57641198	57641286
MIR3163	hsa-mir-3163	11	66934434	66934506
MIR770	hsa-mir-770	14	100852390	100852487
MIR376A2	hsa-mir-376a-2	14	101040069	101040148
MIR3177	hsa-mir-3177	16	1734985	1735066
MIR548H2	hsa-mir-548h-2	16	11306440	11306527
MIR8058	hsa-mir-8058	16	82688931	82689019
MIR7850	hsa-mir-7850	19	2630715	2630793
MIR643	hsa-mir-643	19	52281797	52281893
MIR5001	hsa-mir-5001	2	232550474	232550573
MIR663A	hsa-mir-663a	20	26208186	26208278
MIR941-4	hsa-mir-941-2	20	63919756	63919827
MIR941-4	hsa-mir-941-3	20	63919756	63919827
MIR941-4	hsa-mir-941-4	20	63919756	63919827
MIR941-4	hsa-mir-941-5	20	63919756	63919827
MIR3909	hsa-mir-3909	22	35335640	35335758
MIR4766	hsa-mir-4766	22	40813883	40813958
MIRLET7B	hsa-let-7b	22	46113686	46113768
MIR3921	hsa-mir-3921	3	99964314	99964398
MIR887	hsa-mir-887	5	15935182	15935260
MIR4460	hsa-mir-4460	5	129397062	129397147
MIR143	hsa-mir-143	5	149428918	149429023
MIR1271	hsa-mir-1271	5	176367946	176368031
MIR129-1	hsa-mir-129-1	7	128207872	128207943
MIR1299	hsa-mir-1299	9	40929010	40929092
MIR6857	hsa-mir-6857	X	53405673	53405765
MIR506	hsa-mir-506	X	147230720	147230843
MIR5697	hsa-mir-5697	1	9967381	9967458
MIR3657	hsa-mir-3657	12	112037599	112037715
MIR19B1	hsa-mir-19b-1	13	91351192	91351278
MIR4317	hsa-mir-4317	18	6374361	6374425
MIR5583-2	hsa-mir-5583-2	18	39676719	39676777
MIR1238	hsa-mir-1238	19	10552122	10552204
MIR524	hsa-mir-524	19	53711002	53711088
MIR2467	hsa-mir-2467	2	239351724	239351804
MIR302B	hsa-mir-302b	4	112648485	112648557
MIR3661	hsa-mir-3661	5	134225757	134225852
MIR1322	hsa-mir-1322	8	10825373	10825443
MIR6736	hsa-mir-6736	1	145850587	145850645
MIR873	hsa-mir-873	9	28888879	28888955
MIR921	hsa-mir-921	1	166154743	166154798
MIR4476	hsa-mir-4476	9	36893462	36893531
MIR2278	hsa-mir-2278	9	94809962	94810057
MIR3122	hsa-mir-3122	1	212077613	212077685
MIR4672	hsa-mir-4672	9	127869415	127869495
MIR3620	hsa-mir-3620	1	228097263	228097341
MIR6134	hsa-mir-6134	X	28495555	28495663
MIR192	hsa-mir-192	11	64891137	64891246
MIR362	hsa-mir-362	X	50008964	50009028
MIR6752	hsa-mir-6752	11	67490245	67490315
MIR514A1	hsa-mir-514a-1	X	147279247	147279344
MIR196A2	hsa-mir-196a-2	12	53991738	53991847
MIR4497	hsa-mir-4497	12	109833348	109833436
MIR1283-1	hsa-mir-1283-1	19	53688481	53688567
MIR4783	hsa-mir-4783	2	127423537	127423618
MIR1289-1	hsa-mir-1289-1	20	35453954	35454097
MIR8069-2	hsa-mir-8069-1	21	13724189	13724274
MIR8069-2	hsa-mir-8069-2	21	13724189	13724274
MIR4764	hsa-mir-4764	22	33436582	33436669
MIR1281	hsa-mir-1281	22	41092513	41092566
MIR4787	hsa-mir-4787	3	50675080	50675163
MIR218-2	hsa-mir-218-2	5	168768146	168768255
MIR3912	hsa-mir-3912	5	171386656	171386760
MIR5683	hsa-mir-5683	6	6169334	6169409
MIR3662	hsa-mir-3662	6	134979338	134979432
MIR4648	hsa-mir-4648	7	2527074	2527145
MIR219A2	hsa-mir-219a-2	9	128392618	128392714
MIR219A2	hsa-mir-219b	9	128392618	128392714
MIR4769	hsa-mir-4769	X	47587429	47587505
MIR9-1	hsa-mir-9-1	1	156420341	156420429
MIR5187	hsa-mir-5187	1	161227186	161227261
MIR6741	hsa-mir-6741	1	225922080	225922142
MIR7162	hsa-mir-7162	10	30368597	30368665
MIR936	hsa-mir-936	10	104048089	104048186
MIR1260A	hsa-mir-1260a	14	77266218	77266290
MIR381	hsa-mir-381	14	101045920	101045994
MIR1282	hsa-mir-1282	15	43793659	43793759
MIR4713	hsa-mir-4713	15	51242190	51242264
