Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
MYRF	11	61752642	61788518
CT62	15	71110244	71115500
PATE3	11	125788111	125791600
SETD5	3	9397615	9479240
SCUBE1	22	43197280	43343372
PPFIBP1	12	27523431	27695564
EFCAB9	5	172194172	172203452
TMEM30A	6	75252924	75284948
PATE4	11	125833316	125840069
NPS	10	127549369	127552639
IFNA5	9	21304326	21305312
UBTD2	5	172209646	172283764
NOL12	22	37681673	37693476
LPAR3	1	84811602	84893206
LSM2	CHR_HSCHR6_MHC_COX_CTG1	31784754	31794345
ZBTB9	6	33453970	33457544
TCAF1	7	143851375	143902198
PMAIP1	18	59899948	59904306
SNX11	17	48103357	48123074
BUB1B	15	40161023	40221136
FOXI2	10	127737235	127741186
BHMT	5	79111809	79132288
SYNGAP1	6	33419661	33457541
DNAJC1	10	21756548	22003769
CEP170B	14	104865268	104896770
CCT7	2	73233420	73253021
KLHL9	9	21329671	21335380
INHBC	12	57434784	57452062
SLC16A6	17	68267026	68291267
BHMT2	5	79069767	79090069
IFNA6	9	21349835	21351378
TRRAP	7	98877933	99050831
INHBE	12	57452323	57459280
GTF3C4	9	132670035	132694953
PRR23D2	8	7778591	7781413
OR2F2	7	143935166	143936279
MYO1D	17	32492522	32877177
IFNA13	9	21367424	21368962
USP36	17	78787381	78841441
IFNA2	9	21384254	21385388
RHBDD3	22	29259872	29268209
CRTC2	1	153947669	153958615
LTBP1	2	32946953	33399509
SOD2	6	159669069	159745186
PBX4	19	19561707	19618693
CTCF	16	67562467	67639177
VSTM1	19	54040825	54063953
WIPI1	17	68420948	68457513
C6orf15	CHR_HSCHR6_MHC_DBB_CTG1	31104994	31106330
SH3PXD2B	5	172325000	172454525
DAGLA	11	61680391	61747001
ARMCX2	X	101655281	101659850
ARL17A	17	46516702	46579682
CDSN	CHR_HSCHR6_MHC_DBB_CTG1	31108861	31114200
DMGDH	5	78997606	79236038
PHF11	13	49495610	49528981
ABCC12	16	48081006	48156018
USP22	17	20999596	21043760
PSORS1C2	CHR_HSCHR6_MHC_DBB_CTG1	31131271	31133087
PDF	16	69326913	69330588
PSORS1C1	CHR_HSCHR6_MHC_DBB_CTG1	31108521	31133775
VPS4A	16	69311350	69326939
RUBCNL	13	46342000	46438190
CALCR	7	93424487	93574730
SLC2A6	9	133471094	133479127
IGSF22	11	18704305	18726230
LRRC37A2	17	46511511	46555650
DERPC	16	69118010	69132151
MUCL3	CHR_HSCHR6_MHC_COX_CTG1	30930703	30943914
CHTF8	16	69118010	69132578
HMBS	11	119084866	119093549
FADS1	11	61799625	61829318
USP48	1	21678298	21783606
MOB3A	19	2071036	2096673
CCDC144A	17	16689537	16777881
NEURL1B	5	172641266	172691540
PTPN5	11	18727928	18792721
TBC1D23	3	100260992	100325251
TMED6	16	69343250	69351786
OR2F1	7	143954844	143997312
PTGDR2	11	60850933	60855950
CCDC86	11	60842113	60851081
ENTPD3	3	40387156	40428744
PTPRC	1	198638457	198757476
PFAS	17	8247618	8270491
SCN8A	12	51590266	51812864
IZUMO4	19	2096429	2099593
RPS12	6	132814569	132817564
CRLF2	X	1187549	1212750
RBBP4	1	32651142	32686211
OR14J1	CHR_HSCHR6_MHC_SSTO_CTG1	29307588	29308553
ASAP3	1	23428563	23484568
OR5V1	CHR_HSCHR6_MHC_SSTO_CTG1	29356146	29432443
CEP44	4	174283730	174333380
CLRN3	10	127877841	127892941
OR10C1	CHR_HSCHR6_MHC_SSTO_CTG1	29439782	29441453
OR12D2	CHR_HSCHR6_MHC_SSTO_CTG1	29397025	29398093
OR11A1	CHR_HSCHR6_MHC_SSTO_CTG1	29425980	29457549
RNF44	5	176526712	176538025
CCDC144NL	17	20836447	20896140
OR12D3	CHR_HSCHR6_MHC_SSTO_CTG1	29374013	29450575
PCED1B	12	47079603	47236662
OR10H2	19	15728020	15729060
P3H1	1	42746335	42767084
OR10H3	19	15737985	15742343
MYL6B	12	56152256	56159647
GRM4	6	34018645	34155622
ZMYND19	9	137582081	137590512
PUS7	7	105439661	105522271
LYN	8	55879835	56014169
AMIGO2	12	47075707	47079951
EPB41L2	6	130839347	131063322
SRGAP3	3	8980591	9363053
MARS	12	57475445	57517569
CTC1	17	8224815	8248095
CHP1	15	41230839	41281887
FRG1	4	189940870	189963202
CDH11	16	64943753	65126112
HLA-DOB	CHR_HSCHR6_MHC_DBB_CTG1	32790888	32795173
FRMD4A	10	13643706	14462142
CENPV	17	16342534	16353656
TMEM86A	11	18693122	18704785
SLC39A7	6	33200445	33204439
FBXO8	4	174236658	174284264
MYL6	12	56158161	56163496
RGPD6	2	110513812	110577185
TSBP1	CHR_HSCHR6_MHC_MCF_CTG1	32392894	32448091
DTWD1	15	49621037	49656232
DEFB107A	8	7811720	7815716
TRIM10	6	30151943	30161211
HGF	7	81699008	81770438
LEPROTL1	8	30095398	30177208
PIGL	17	16217191	16351797
FAM13A	4	88725955	89111398
MC4R	18	60371062	60372775
FILIP1	6	75291859	75493800
KBTBD2	7	32868172	32894131
NOMO3	CHR_HSCHR16_1_CTG1	16317633	16379962
RXRB	6	33193588	33200688
ERICH4	19	41443158	41444765
DMAC2	19	41431318	41440717
BTN3A2	6	26365159	26378320
DEFB105A	8	7821966	7823889
QPCT	2	37342827	37373322
MBOAT4	8	30131824	30144686
RPL3L	16	1943974	1957606
OR10H5	19	15787661	15801025
LPAR2	19	19623655	19628930
TM2D1	1	61681046	61725423
DCTN6	8	30156319	30183639
HSPA1L	CHR_HSCHR6_MHC_COX_CTG1	31796990	31802435
BTNL2	CHR_HSCHR6_MHC_MCF_CTG1	32470120	32483292
TEX33	22	36991120	37007851
IFNA8	9	21409147	21410185
DEFB106A	8	7825172	7829053
KCNJ2	17	70168673	70180048
KIF24	9	34252381	34311371
MFAP3	5	154038906	154220478
CYP4F11	19	15912367	15934867
DCLK3	3	36712422	36764349
HSD3B1	1	119507198	119515054
ODAPH	4	75556048	75565885
HSPA1A	CHR_HSCHR6_MHC_COX_CTG1	31802834	31805316
PDCD1	CHR_HSCHR2_3_CTG15	241849881	241858908
HLA-DRA	CHR_HSCHR6_MHC_MCF_CTG1	32515215	32520425
IFNA1	9	21440454	21441316
AGTR2	X	116170744	116174974
GRAPL	17	19127469	19159176
DEFB104A	8	7836471	7841242
THUMPD3	3	9362971	9386791
PRPF18	10	13586939	13630859
UBAP1	9	34179005	34252523
NXF5	X	101832112	101857577
SLC6A14	X	116436606	116461458
SYNC	1	32680360	32703596
KCNA7	19	49067418	49072941
SMARCA1	X	129446501	129523500
IFNE	9	21480839	21482313
HSPA1B	CHR_HSCHR6_MHC_COX_CTG1	31815107	31817630
FAM114A2	5	153990148	154038936
CSF2RA	X	1268800	1310381
TRIM15	6	30163206	30172693
FEN1	11	61792911	61797238
SLC2A8	9	127397138	127408424
CLASP2	3	33496245	33718356
CDC16	13	114234887	114272723
EFCAB10	7	105565120	105600875
RSPH10B2	7	6754109	6799365
U2SURP	3	142964497	143060546
HNRNPUL1	19	41262496	41307598
ZFR2	19	3804024	3869038
CYP4F2	19	15878023	15898077
SOX9	17	72121020	72126420
GABRQ	X	152637895	152657542
PPP3CC	8	22440819	22541142
DCTN2	12	57530102	57547331
OR8D2	11	124319238	124320288
RINT1	7	105532169	105567677
OSGEP	14	20446401	20455089
SERHL2	22	42553617	42574382
GTF2IRD2	7	74796144	74851551
SMURF1	7	99027438	99144100
CDKL2	4	75576496	75630716
NFYC	1	40691648	40771603
M1AP	2	74557883	74648338
MAGEA3	X	152698767	152702347
HAVCR1	5	157029413	157059119
SPAG11A	8	7847876	7868867
CA14	1	150257251	150265078
MKKS	20	10401009	10434222
MYMK	9	133514586	133528612
C6orf15	CHR_HSCHR6_MHC_COX_CTG1	31103717	31105053
CT83	X	116461686	116462976
MYL12B	18	3261479	3278431
OR2H1	CHR_HSCHR6_MHC_SSTO_CTG1	29457659	29464806
SMC2	9	104094260	104141419
OR8B2	11	124382394	124384462
MYO18B	22	25742144	26031041
OR8B3	11	124395534	124399024
DAZ3	Y	24763069	24813492
ERBB4	2	211375717	212538841
CCZ1B	7	6794134	6826770
NDUFB10	16	1959538	1961975
NAB2	12	57089043	57095476
CSAG2	X	152708261	152714549
NEXN	1	77888513	77943895
PTPRJ	11	47980558	48170841
SLC35G6	17	7481332	7483496
ZNF512B	20	63956704	63969930
H6PD	1	9234775	9271337
ZBTB4	17	7459366	7484263
MAGEA2B	X	152714586	152718607
MYL12A	18	3247481	3256236
UCKL1	20	63939829	63956416
HYLS1	11	125883614	125900648
JCAD	10	30012803	30115494
LRP1	12	57128493	57213351
FMNL3	12	49636499	49708165
PLSCR5	3	146576555	146606216
OR1A2	17	3197519	3198448
SARS	1	109213918	109238182
OR1A1	17	3207539	3218896
RSPRY1	16	57186137	57240469
PUS3	11	125893485	125903221
SPSB1	1	9292894	9369532
GOLGA8J	15	30083053	30093499
EPB41L5	2	120013077	120179119
MBD6	12	57520710	57530148
RING1	CHR_HSCHR6_MHC_DBB_CTG1	33186401	33190628
MCOLN2	1	84925583	84997113
RFPL4B	6	112347330	112351294
OTULINL	5	14581792	14616180
SCX	8	144266453	144268481
SORBS3	8	22544986	22575788
BOP1	8	144262045	144291438
PACS1	11	66070272	66244744
SF3A1	22	30331988	30356919
TNIK	3	171058414	171460408
GALNT10	5	154190730	154420984
MPPED1	22	43411196	43507848
LAMA4	6	112108757	112254939
NUS1	6	117675469	117710727
TAP2	CHR_HSCHR6_MHC_DBB_CTG1	32799958	32816755
OR3A2	17	3276942	3386317
NUDT2	9	34329506	34343711
PLCG2	16	81739097	81962685
OR3A1	17	3291017	3298360
OR8B4	11	124423904	124424893
ZFAND5	9	72351413	72365235
PLD4	14	104924713	104937790
OR8B8	11	124437445	124445696
OR8B12	11	124539635	124545333
SKAP1	17	48133442	48430275
NR2E3	15	71792638	71818259
GLI1	12	57459785	57472268
THYN1	11	134248279	134253370
BDP1	CHR_HSCHR5_2_CTG1_1	70670918	70783123
SEMA4F	2	74654228	74683853
CCDC157	22	30356635	30378658
VPS52	CHR_HSCHR6_MHC_DBB_CTG1	33228191	33249968
IKZF2	2	212999691	213152427
SOS2	14	50117130	50231578
MMP19	12	55835433	55842966
TUSC3	8	15417215	15766649
PON1	7	95297676	95324707
AHNAK2	14	104937244	104978374
MTFP1	22	30425623	30429054
PAQR9	3	142949164	142963682
FAM186B	12	49582885	49605639
RPAP3	12	47661249	47706030
DDIT3	12	57516588	57521737
CDH20	18	61333430	61555779
LCE1E	1	152786214	152788426
CCDC155	19	49388219	49417990
PATJ	1	61742406	62178675
DDX25	11	125903348	125943702
LCE1D	1	152796751	152798181
SEC14L2	22	30396941	30425303
NECTIN3	3	111070071	111275563
C6	5	41142234	41261438
SNX9	6	157700387	157945077
LCE1C	1	152804835	152806628
PRPF40B	12	49568218	49644666
ZNF585B	19	37181579	37218153
GDF11	12	55743280	55757278
NUP93	16	56730118	56850286
LUC7L3	17	50719565	50756219
ARHGAP9	12	57472264	57488814
DNAJC14	12	55820960	55830824
MVD	16	88651935	88663161
NOL4	18	33851100	34224952
ZFAND6	15	80059568	80138393
RPS20	8	56067295	56074581
RTP5	CHR_HSCHR2_3_CTG15	241869600	241873823
SARNP	12	55752463	55817724
OR8A1	11	124566660	124582942
B9D2	19	41354417	41364165
PANX3	11	124611490	124620356
TAP1	CHR_HSCHR6_MHC_DBB_CTG1	32823186	32831955
CCDC97	19	41310172	41324873
ZNF420	19	37007857	37130368
MAS1L	CHR_HSCHR6_MHC_SSTO_CTG1	29487242	29488378
DDX21	10	68956170	68985068
MED16	19	867630	893218
ADAMTSL2	9	133532164	133575519
EXOSC5	19	41386374	41397359
SLC25A15	13	40789412	40812460
SLX4IP	20	10435305	10636829
ZNF697	1	119619377	119648266
EPS8	12	15620134	15882329
FIGNL2	12	51817840	51848766
E2F2	1	23506438	23531233
ORMDL2	12	55818041	55821879
CAV1	7	116525001	116561184
B3GNT8	19	41425359	41428730
RPS18	CHR_HSCHR6_MHC_DBB_CTG1	33249931	33254431
CYYR1	21	26466209	26573255
ID3	1	23557926	23559501
MIOS	7	7566875	7608932
LCE1B	1	152811971	152813109
TMEM91	19	41350911	41384083
ZNF383	19	37217926	37248738
LCE1A	1	152827473	152827894
LCE6A	1	152842868	152843983
FAM240B	9	38694263	38720428
TMBIM6	12	49707725	49764934
SMCP	1	152878322	152885047
CSAG1	X	152727484	152733735
MC5R	18	13824149	13827323
PSMB8	CHR_HSCHR6_MHC_DBB_CTG1	32818694	32822680
COL13A1	10	69801867	69964275
PLLP	16	57248547	57284672
ZNF585A	19	37106734	37172741
OCRL	X	129539849	129592561
IVL	1	152908546	152911886
NR5A2	1	200027614	200177420
UBXN4	2	135741734	135785056
MYO9A	15	71822291	72118577
SLC35F1	6	117907264	118317676
SPRR5	1	152947154	152949258
ARL2BP	16	57245259	57253635
MTRNR2L6	7	142666272	142667718
RPS17	CHR_HSCHR15_5_CTG8	82615842	82619653
FBN3	19	8065402	8149592
SPRR4	1	152970648	152972574
FNDC5	1	32862268	32872482
CCDC171	9	15553043	16061663
SNRNP70	19	49085419	49108605
PTTG1	5	160421855	160428739
PACSIN3	11	47177522	47186443
MAGEA12	X	152733757	152737669
PSMB9	CHR_HSCHR6_MHC_DBB_CTG1	32822113	32857517
CEP78	9	78236062	78279690
SPRR1A	1	152985231	152985500
CPEB1	CHR_HSCHR15_5_CTG8	82622289	82720771
PCDH9	13	66302834	67230445
SPRR3	1	153001747	153003856
BCKDHA	19	41397808	41425002
MBD5	2	148021011	148516971
MAGEA6	X	152766136	152769747
ARHGAP29	1	94148988	94275068
SPRR1B	1	153031203	153032900
CAPG	2	85394753	85418432
PRSS1	7	142749468	142753076
CSAG3	X	152753921	152760222
ANKRD33	12	51888009	51891727
MYORG	9	34366666	34376898
MAGEA2	X	152749863	152753884
ENDOU	12	47709734	47725567
RNF215	22	30368811	30421771
SLC25A35	17	8287763	8295400
DTNB	2	25377198	25673647
OR6B1	7	144000320	144008793
OR2A5	7	144048948	144058845
SPRR2D	1	153039732	153041931
ATAD2	8	123319850	123416350
OR2A25	7	144069811	144075870
ZNF281	1	200404940	200410056
GNA15	19	3136193	3163769
APLN	X	129645259	129654956
RBPMS	8	30384511	30572256
OR2A12	7	144086278	144098953
OR2A2	7	144109514	144110564
XPNPEP2	X	129738974	129769536
PRSS2	7	142760398	142774564
PLXNA1	3	126988594	127037392
DAPL1	2	158795317	158862781
PON3	7	95359872	95396375
SLC48A1	12	47753916	47782751
KIF14	1	200551497	200620751
LCT	2	135787850	135837184
RANGRF	17	8288654	8290092
C6orf48	CHR_HSCHR6_MHC_COX_CTG1	31821974	31827129
PPP1R18	CHR_HSCHR6_MHC_DBB_CTG1	30666650	30678156
FBLN2	3	13549125	13638422
OR2A14	7	144123176	144131188
CTAGE4	7	144183466	144186053
TMEM185B	2	120217479	120223400
ACVRL1	12	51906908	51923361
TLR10	4	38772238	38782990
SPRR2A	1	153056120	153057512
RAPGEF3	12	47734363	47771040
DDX59	1	200623896	200669907
SPRR2F	1	153112121	153113516
SPRR2E	1	153093135	153106184
SLC25A33	1	9539465	9585173
C9orf24	9	34379019	34397810
OR2A7	7	144257663	144264792
C1orf54	1	150268200	150280916
TST	22	37010859	37020183
SPRR2B	1	153070224	153070840
LDLRAD2	1	21812265	21825221
CCDC90B	11	83259097	83286407
CCL22	16	57358783	57366189
MPST	22	37019635	37029822
HSPG2	1	21822244	21937310
OR4B1	11	48216810	48217739
HES3	1	6244192	6245578
OR4X2	11	48245056	48246080
MTPAP	10	30309801	30374448
OR2A1	7	144312464	144322668
PRPF40A	2	152651593	152717997
CX3CL1	16	57372477	57385044
ZP1	11	60867562	60875693
ZMYM3	X	71239624	71255146
ARHGEF5	7	144355288	144380632
ORC4	2	147930397	148021604
PPP1R3F	X	49269843	49301461
SENP8	15	72114258	72143692
ILF3	19	10654261	10692417
ACTN4	19	38647649	38731589
MET	7	116672196	116798386
TLR1	4	38790677	38856817
FJX1	11	35618419	35620868
VWC2L	2	214411065	214578959
FOXP3	X	49250436	49270477
TRIM44	11	35662775	35818007
CCL17	16	57404767	57416062
SMN2	5	70049612	70078522
APH1A	1	150265399	150269580
ACAD8	11	134253495	134265855
MOS	8	56112942	56113982
ITIH2	10	7703316	7749520
DEFB103A	8	7881204	7882664
RNF152	18	61808067	61894247
SPAG16	2	213284379	214410501
TLR6	4	38823715	38856817
TOP2B	3	25597905	25664907
LDLRAD3	11	35943981	36232136
DEFB4A	8	7894629	7896711
SH3TC1	4	8182072	8241803
SNTG2	CHR_HSCHR2_4_CTG1	1316265	1365970
GPR153	1	6247353	6261098
HLA-DOA	CHR_HSCHR6_MHC_MANN_CTG1	33157934	33163367
CPNE6	14	24070837	24078100
TRIM26	6	30184455	30213427
PAFAH1B3	19	42297033	42303546
PSORS1C2	CHR_HSCHR6_MHC_COX_CTG1	31130046	31131862
KDM4D	11	94973709	94999519
OR2A42	7	144228244	144239605
CDSN	CHR_HSCHR6_MHC_COX_CTG1	31107584	31112941
PSORS1C1	CHR_HSCHR6_MHC_COX_CTG1	31107244	31132550
ADAMTS1	21	26835755	26845409
S1PR4	19	3172346	3180332
KDM4E	11	95025258	95027596
FAM43A	3	194686544	194689037
CTAGE8	7	144266701	144269288
ARHGEF35	7	144186083	144195655
UNC45A	15	90930180	90954093
TIMP4	3	12153068	12158912
TANC1	2	158968640	159232659
MAGEB17	X	16167481	16171464
CIC	19	42268537	42295797
OIP5	15	41309273	41332591
GRPR	X	16123556	16153021
ACVR2A	2	147844517	147930826
IFI27L1	14	94081301	94103846
SYN2	3	12004388	12192032
PLAG1	8	56160909	56211324
CAPN12	19	38730187	38769904
BUB1	2	110637698	110678114
HTR3A	11	113974881	113990313
RBM25	14	73058532	73123899
BAK1	6	33572547	33580293
ARL6IP6	2	152717893	152761253
CETN2	X	152826973	152830777
CAMSAP3	19	7595902	7618304
C6orf223	6	44000580	44007612
ZNF705B	8	7926337	7952413
MCM6	2	135839626	135876443
CACNA1B	9	137877782	138124624
NUSAP1	15	41332694	41381050
RCBTB1	13	49531946	49585558
ABCD3	1	94418389	94518666
ZBTB47	3	42653697	42667580
OR13F1	9	104504263	104505222
PHRF1	11	576470	612222
SASH3	X	129779949	129795201
OR13C4	9	104526253	104527209
OR13C3	9	104535749	104536856
CORO1A	16	30182827	30189076
CREB3L4	1	153967534	153974361
OR4X1	11	48263861	48264778
ADAMTS5	21	26917922	26967088
PTN	7	137227341	137343865
RNF166	16	88696495	88706421
NKTR	3	42600655	42648735
CAPN7	3	15206152	15252916
SIAH1	16	48356364	48448402
NSDHL	X	152830967	152869729
ALB	4	73397114	73421482
BRAP	12	111642146	111685956
RSBN1L	7	77696459	77783022
C1QTNF7	4	15339818	15446166
RALB	2	120240064	120294710
ABCC11	16	48166910	48247568
HLA-DPA1	CHR_HSCHR6_MHC_MANN_CTG1	33218673	33234885
DGKI	7	137381037	137847092
CCDC22	X	49235470	49250520
GATAD2B	CHR_HSCHR1_1_CTG31	153821956	153845579
HAVCR2	5	157085832	157142869
CPEB2	4	15002674	15070153
MELK	9	36572862	36677683
PRR19	19	42302098	42310821
CPHXL	16	75714131	75726490
DUXB	16	75693929	75701459
CHMP6	17	80991598	81009517
TERF2IP	16	75647773	75761872
HLA-DPB1	CHR_HSCHR6_MHC_MANN_CTG1	33230030	33241311
AK8	9	132725578	132878777
SPRR2G	1	153149582	153150890
KARS	16	75627474	75648643
TMEM201	1	9588911	9614877
TFPI2	7	93885396	93890753
CYP46A1	14	99684304	99727301
LELP1	1	153203430	153205120
KIF26B	CHR_HSCHR1_1_CTG32_1	245353678	245713153
CAMSAP2	1	200739558	200860704
PRR9	1	153217584	153219310
FAM71B	5	157161846	157166264
SPACA9	9	132878027	132890201
GABARAPL1	12	10212458	10223128
RARB	3	25174332	25597932
MED7	5	157137424	157159019
USP17L3	8	7976393	7977985
INHBB	2	120346136	120351803
MC2R	18	13882044	13915707
ELF1	13	40931924	41061440
LOR	1	153259687	153262124
SINHCAF	12	31280584	31327058
USP17L8	8	7971661	7973253
ITK	5	157142933	157255191
PGLYRP3	1	153297862	153310718
OR1E1	17	3397104	3398410
ACVR1B	12	51951699	51997078
GNGT1	7	93591573	93911265
NIT2	3	100334739	100361635
HDAC7	12	47782722	47833132
OTULIN	5	14664664	14699711
RPS24	10	78033732	78056813
HRH3	20	62214960	62220278
C3orf56	3	127193131	127198185
TRANK1	3	36826820	36945098
PRUNE1	1	151008420	151035713
PRR20G	3	127283784	127288046
RCCD1	15	90954870	90963125
PGLYRP4	1	153330120	153348841
C9orf92	9	16203935	16410990
PCF11	11	83156988	83187451
BCKDK	16	31106107	31112791
SS18L2	3	42581840	42595114
BNC2	9	16409503	16870843
CTAG1A	X	154585133	154586821
PDGFC	4	156760454	156971799
CDKN2B	9	22002903	22009305
LURAP1L	9	12775020	12823060
MCOLN3	1	85018082	85048500
F3	1	94529173	94541759
LNP1	3	100401532	100456319
MRPL14	6	44113451	44127452
S100A9	1	153357854	153361023
TYRP1	9	12685439	12710290
CDKN2A	9	21967753	21995301
SEC22C	3	42547969	42601080
TMEM63B	6	44126914	44155519
FBXO41	2	73254682	73284431
CTAG1B	X	154617609	154619282
TOMM70	3	100363431	100401398
HDDC3	15	90929964	90935196
DAZ4	Y	24833843	24907040
LONP2	16	48244296	48363122
S100A12	1	153373711	153375621
NFKBIZ	3	101827991	101861022
JTB	1	153974269	153977674
ANKRD42	11	83193739	83260694
S100A8	1	153390032	153391073
ECHDC2	1	52895910	52927212
KDM4F	11	95049422	95051338
SDR42E1	16	81988855	82011481
KLF14	7	130731235	130734176
GPR25	1	200872955	200874178
PTPRE	10	127907061	128085855
PTCD2	5	72320367	72368395
SRSF8	11	95067197	95071224
INAVA	1	200891048	200915742
EHMT1	9	137618992	137870016
ENDOD1	11	95089846	95132645
PRAMEF18	CHR_HSCHR1_2_CTG3	13241912	13244686
PDZD4	X	153802166	153830565
ZMYND11	10	134465	254637
PHGDH	1	119648411	119744226
PRAMEF25	CHR_HSCHR1_2_CTG3	13169610	13178799
OR4S1	11	48306223	48307152
MTAP	9	21802543	21937651
OR4C5	11	48365485	48366465
EPAS1	2	46293667	46386697
OR4C3	11	48324920	48328471
PLCXD3	5	41306952	41510628
SSBP2	5	81413021	81751797
WDR63	1	84999147	85133138
FAM163B	9	133578415	133586197
COQ9	16	57447425	57461270
ARHGEF15	17	8310241	8322514
SLC39A1	1	153959099	153968184
TMEM98	17	32927910	32945106
PIEZO1	16	88715338	88785220
NUP155	5	37288137	37371106
NXPE3	3	101779202	101828231
PHF20L1	8	132775358	132848807
REV3L	6	111299028	111483715
MKLN1	7	131110096	131496632
FTSJ1	X	48476021	48486364
ALDH18A1	10	95605941	95656711
KLHL13	X	117897813	118117340
BNIPL	1	151036321	151047720
KDM3A	2	86440647	86492716
ARHGEF10	8	1823926	1958641
ALDH2	12	111766887	111817532
DDHD1	14	53036745	53153282
XXYLT1	3	195068284	195271159
ZNF804B	7	88759368	89337057
DNAI1	9	34457414	34520988
TEX47	7	88794106	88795737
HNF4A	20	44355700	44434596
NSMCE2	8	125091679	125367120
HK2	2	74833981	74893359
PLPBP	8	37762595	37779768
LIPH	3	185506262	185552588
DOK4	16	57471922	57487327
SESN3	11	95165513	95232541
CALB1	8	90058608	90095475
ACAD10	12	111686056	111757107
RAB13	1	153981617	153986358
EFCAB6	22	43528744	43812337
ATE1	10	121740421	121928801
CTU2	16	88706483	88715396
FAM219A	9	34398184	34458570
CDC42EP3	2	37641882	37738468
AMER1	X	64185117	64205708
CREB3L2	7	137874979	138002086
WASHC5	8	125024260	125091819
HOXB1	17	48528526	48531011
FRG2	4	190024351	190027257
ATXN7L1	7	105605067	105876604
ADH7	4	99412261	99435737
EFCAB11	14	89794669	89954777
OR4A47	11	48488717	48489780
OR3A3	17	3411370	3424070
WDSUB1	2	159235793	159286799
PMM1	22	41576900	41589871
C2CD5	12	22448583	22544546
OR13C8	9	104569168	104570130
ERMAP	1	42817122	42844991
OR1E2	17	3432870	3433841
STEAP1	7	90154456	90164829
CLN8	8	1755778	1801711
CHCHD7	8	56211686	56218798
PLN	6	118548296	118561716
TFE3	X	49028726	49043410
ZNF185	X	152914442	152973480
UBQLN1	9	83659968	83707958
STEAP2	7	90167590	90238137
CEP85L	6	118460772	118710075
GMIP	19	19629476	19643657
MRPS27	5	72219409	72320646
CSDC2	22	41561010	41577741
HSD17B2	16	82035004	82098534
TMEM60	7	77793728	77798434
ATCAY	19	3879864	3928082
LYRM1	16	20899868	20925006
HMGA1	6	34236873	34246231
HLA-DOA	CHR_HSCHR6_MHC_COX_CTG1	32926465	32931899
TMEM269	1	42785007	42816619
PREB	2	27130756	27134666
OR13C5	9	104598457	104599413
TRIM29	11	120111286	120185529
OR13C2	9	104604671	104605627
SVBP	1	42807052	42817397
CCDC120	X	49053572	49069857
OR13C9	9	104617248	104618204
FOXN3	14	89124871	89619149
WNT7A	3	13816258	13880121
OR13D1	9	104694379	104695485
C1orf50	1	42767249	42779491
SAMD10	20	63974116	63980008
MLLT11	1	151057758	151068497
ACSM1	16	20623237	20698890
GTF3C5	9	133030675	133058503
RHOC	1	112701106	112707434
ZNF76	6	35258909	35295985
C1orf56	1	151047740	151051986
C6orf47	CHR_HSCHR6_MHC_COX_CTG1	31645706	31648178
FKBP9	7	32957404	33006930
ZNF329	19	58126248	58155110
DXO	CHR_HSCHR6_MHC_DBB_CTG1	31951992	31954474
CDC42SE1	1	151050971	151070325
CASTOR2	7	74964818	75024798
GATD1	11	767220	777488
BAZ2B	2	159318979	159616569
CIAPIN1	16	57428187	57447420
OXCT1	5	41730065	41870425
CTAG2	X	154651972	154653579
QARS	3	49095932	49105130
ZNF274	19	58183029	58213562
POLR2A	17	7484366	7514616
IFI27	14	94104836	94116698
BARD1	2	214725646	214809683
THUMPD1	16	20702816	20742084
S100A7A	1	153416520	153423222
ARRDC1	9	137605685	137615360
MPHOSPH6	16	82147798	82170224
DBH	9	133635348	133659344
DCUN1D3	16	20854925	20900358
MICOS13	19	5678421	5680896
SIAE	11	124633113	124695707
EPHB6	7	142855061	142871094
ZBTB16	11	114059593	114250676
PRAMEF5	CHR_HSCHR1_2_CTG3	13272778	13282015
ACSM3	16	20610243	20797581
NRM	CHR_HSCHR6_MHC_DBB_CTG1	30678308	30681681
CCKBR	11	6259806	6272127
ABHD1	2	27123789	27130812
GOLGA8T	15	30135149	30145567
WDR45B	17	82614562	82648553
C19orf73	19	49118402	49119143
ZMAT1	X	101882288	101932079
PRAMEF8	CHR_HSCHR1_2_CTG3	13299884	13303717
LIN7B	19	49114324	49118460
NSMCE4A	10	121957091	121975217
AKR1D1	7	138002324	138118305
RPL36	19	5674947	5691875
CAPZA2	7	116811070	116922049
WBP4	13	41061509	41084006
PDLIM3	4	185500660	185535612
C4A	CHR_HSCHR6_MHC_DBB_CTG1	31964204	31984862
NNMT	11	114257787	114313285
EPHX4	1	92029985	92063538
TRAF3IP2	6	111555378	111606906
SPA17	11	124673798	124697518
COL15A1	9	98943179	99070792
HOXB5	17	48591257	48593961
SETSIP	1	92074533	92075441
VWA7	CHR_HSCHR6_MHC_SSTO_CTG1	31756347	31768050
UCP3	11	74000277	74009085
ZNF519	18	14057457	14132490
HOXB3	17	48548870	48604912
ARL11	13	49628299	49633872
TBRG1	11	124622836	124635926
PON2	7	95404862	95435329
KBTBD6	13	41127569	41132746
SPDYE21P	7	67278714	67286664
ABCG1	21	42199689	42297244
CDH5	16	66366622	66404784
NOBOX	7	144397240	144410227
NEU1	CHR_HSCHR6_MHC_COX_CTG1	31845195	31850443
BTN2A2	6	26383096	26394874
NCLN	19	3185563	3209575
CD151	11	832887	839831
XAB2	19	7619525	7629545
